[2026-05-01 09:34:03] [INFO] Payment processing started for request: {"student_id":"2334","amount":"120580","payment_mode":"cheque"} | User ID: 70 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-01 09:34:03] [INFO] Payment validation passed for student 2334. Proceeding with payment record creation. | User ID: 70 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-01 09:34:03] [INFO] Database transaction started for student 2334 payment processing. | User ID: 70 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-01 09:34:03] [INFO] Generating receipt number - Student: 2334, Fee Component: school_fee | User ID: 70 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-01 09:34:03] [INFO] Payment record created: ID 2703, Receipt: 21, Component: school_fee | User ID: 70 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-01 09:34:03] [INFO] Synchronized tbl_student_fee_allocation for student 2334 | User ID: 70 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-01 09:34:03] [INFO] Generating receipt number - Student: 2334, Fee Component: trust_facilities_fee | User ID: 70 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-01 09:34:03] [INFO] Payment record created: ID 2704, Receipt: 109, Component: trust_facilities_fee | User ID: 70 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-01 09:34:03] [INFO] Synchronized tbl_student_fee_allocation for student 2334 | User ID: 70 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-01 09:34:03] [INFO] Generating receipt number - Student: 2334, Fee Component: tuition_fee_part2 | User ID: 70 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-01 09:34:03] [INFO] Payment record created: ID 2705, Receipt: 109, Component: tuition_fee_part2 | User ID: 70 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-01 09:34:03] [INFO] Synchronized tbl_student_fee_allocation for student 2334 | User ID: 70 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-01 09:34:03] [INFO] Generating receipt number - Student: 2334, Fee Component: transport_fee | User ID: 70 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-01 09:34:03] [INFO] Payment record created: ID 2706, Receipt: 20, Component: transport_fee | User ID: 70 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-01 09:34:03] [INFO] Synchronized tbl_student_fee_allocation for student 2334 | User ID: 70 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-01 09:34:03] [INFO] Payment transaction log created for payment ID: 2703 | User ID: 70 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-01 09:34:03] [INFO] Payment transaction committed successfully for student 2334. Receipt No: 21, 109, 109, 20 | User ID: 70 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-01 09:34:03] [INFO] Updated student requirement flags for student 2334: transport_required = 'Yes' | User ID: 70 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-01 10:05:49] [INFO] Payment processing started for request: {"student_id":"222","amount":"11800","payment_mode":"cash"} | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-01 10:05:49] [INFO] Payment validation passed for student 222. Proceeding with payment record creation. | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-01 10:05:49] [INFO] Database transaction started for student 222 payment processing. | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-01 10:05:49] [INFO] Payment record created: ID 2707, Receipt: , Component: tuition_fee_part1 | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-01 10:05:49] [INFO] Synchronized tbl_student_fee_allocation for student 222 | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-01 10:05:50] [INFO] Attempting to enroll student 222 after payment. | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-01 10:05:50] [INFO] Student 222 enrolled successfully. Enrollment ID: 2184 | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-01 10:05:50] [INFO] Payment transaction log created for payment ID: 2707 | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-01 10:05:50] [INFO] Payment transaction committed successfully for student 222. Receipt No:  | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-01 10:09:25] [INFO] Payment processing started for request: {"student_id":"513","amount":"11800","payment_mode":"cash"} | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-01 10:09:25] [INFO] Payment validation passed for student 513. Proceeding with payment record creation. | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-01 10:09:25] [INFO] Database transaction started for student 513 payment processing. | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-01 10:09:25] [INFO] Payment record created: ID 2708, Receipt: , Component: tuition_fee_part1 | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-01 10:09:25] [INFO] Synchronized tbl_student_fee_allocation for student 513 | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-01 10:09:25] [INFO] Attempting to enroll student 513 after payment. | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-01 10:09:25] [INFO] Student 513 enrolled successfully. Enrollment ID: 2185 | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-01 10:09:25] [INFO] Payment transaction log created for payment ID: 2708 | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-01 10:09:25] [INFO] Payment transaction committed successfully for student 513. Receipt No:  | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-01 10:10:53] [INFO] Payment processing started for request: {"student_id":"190","amount":"11800","payment_mode":"online"} | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-01 10:10:53] [INFO] Payment validation passed for student 190. Proceeding with payment record creation. | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-01 10:10:53] [INFO] Database transaction started for student 190 payment processing. | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-01 10:10:53] [INFO] Payment record created: ID 2709, Receipt: , Component: tuition_fee_part1 | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-01 10:10:53] [INFO] Synchronized tbl_student_fee_allocation for student 190 | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-01 10:10:53] [INFO] Attempting to enroll student 190 after payment. | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-01 10:10:53] [INFO] Student 190 enrolled successfully. Enrollment ID: 2186 | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-01 10:10:53] [INFO] Payment transaction log created for payment ID: 2709 | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-01 10:10:53] [INFO] Payment transaction committed successfully for student 190. Receipt No:  | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-01 10:13:06] [INFO] Payment processing started for request: {"student_id":"38","amount":"11800","payment_mode":"online"} | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-01 10:13:06] [INFO] Payment validation passed for student 38. Proceeding with payment record creation. | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-01 10:13:06] [INFO] Database transaction started for student 38 payment processing. | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-01 10:13:06] [INFO] Payment record created: ID 2710, Receipt: , Component: tuition_fee_part1 | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-01 10:13:06] [INFO] Synchronized tbl_student_fee_allocation for student 38 | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-01 10:13:06] [INFO] Payment transaction log created for payment ID: 2710 | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-01 10:13:06] [INFO] Payment transaction committed successfully for student 38. Receipt No:  | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-01 10:16:13] [INFO] Payment processing started for request: {"student_id":"626","amount":"11800","payment_mode":"online"} | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-01 10:16:13] [INFO] Payment validation passed for student 626. Proceeding with payment record creation. | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
[2026-05-01 10:16:13] [INFO] Database transaction started for student 626 payment processing. | User ID: 31 | URI: /counselling-backend/index.php?route=payments/payment-save
